Metabolite,Method,Pathway
Metabolite_135,Targeted Metabolomics,Amino Acid Metabolism
Metabolite_136,Targeted Metabolomics,TCA Cycle
Metabolite_137,Untargeted Lipidomics,TCA Cycle
Metabolite_138,Targeted Lipidomics,Amino Acid Metabolism
Metabolite_139,Untargeted Lipidomics,Lipid Metabolism
Metabolite_140,Targeted Metabolomics,Steroid Hormone Biosynthesis
Metabolite_141,Targeted Metabolomics,Lipid Metabolism
Metabolite_142,Untargeted Metabolomics,Fatty Acid Oxidation
Metabolite_143,Targeted Metabolomics,Steroid Hormone Biosynthesis
Metabolite_144,Untargeted Metabolomics,Glycolysis
Metabolite_145,Targeted Lipidomics,Fatty Acid Oxidation
Metabolite_146,Untargeted Lipidomics,Amino Acid Metabolism
Metabolite_147,Untargeted Metabolomics,Purine Metabolism
Metabolite_148,Untargeted Lipidomics,Sphingolipid Metabolism
Metabolite_149,Untargeted Lipidomics,Sphingolipid Metabolism
Metabolite_150,Targeted Metabolomics,Lipid Metabolism
Metabolite_151,Untargeted Lipidomics,Sphingolipid Metabolism
Metabolite_152,Targeted Metabolomics,Glycolysis
Metabolite_153,Untargeted Lipidomics,Purine Metabolism
Metabolite_154,Untargeted Metabolomics,Fatty Acid Oxidation
Metabolite_155,Targeted Lipidomics,TCA Cycle
Metabolite_156,Untargeted Metabolomics,Fatty Acid Oxidation
Metabolite_157,Targeted Lipidomics,Lipid Metabolism
Metabolite_158,Targeted Lipidomics,TCA Cycle
Metabolite_159,Untargeted Lipidomics,Glycolysis
Metabolite_160,Untargeted Metabolomics,Lipid Metabolism
Metabolite_161,Targeted Lipidomics,Purine Metabolism
Metabolite_162,Untargeted Lipidomics,Fatty Acid Oxidation
Metabolite_163,Targeted Lipidomics,Nucleotide Metabolism
Metabolite_164,Targeted Lipidomics,Glycolysis
Metabolite_165,Untargeted Lipidomics,Amino Acid Metabolism
Metabolite_166,Untargeted Lipidomics,Glycolysis
Metabolite_167,Untargeted Metabolomics,Purine Metabolism
Metabolite_168,Targeted Metabolomics,Bile Acid Metabolism
Metabolite_169,Untargeted Metabolomics,Fatty Acid Oxidation
Metabolite_170,Targeted Metabolomics,Fatty Acid Oxidation
Metabolite_171,Untargeted Metabolomics,Glycolysis
Metabolite_172,Targeted Lipidomics,Sphingolipid Metabolism
Metabolite_173,Targeted Metabolomics,Bile Acid Metabolism
Metabolite_174,Untargeted Metabolomics,Steroid Hormone Biosynthesis
Metabolite_175,Untargeted Metabolomics,Purine Metabolism
Metabolite_176,Untargeted Metabolomics,Purine Metabolism
Metabolite_177,Untargeted Metabolomics,Purine Metabolism
Metabolite_178,Untargeted Metabolomics,Amino Acid Metabolism
Metabolite_179,Untargeted Lipidomics,Steroid Hormone Biosynthesis
Metabolite_180,Untargeted Lipidomics,Fatty Acid Oxidation
Metabolite_181,Untargeted Metabolomics,Sphingolipid Metabolism
Metabolite_182,Untargeted Metabolomics,Amino Acid Metabolism
Metabolite_183,Targeted Lipidomics,Glycolysis
Metabolite_184,Untargeted Metabolomics,Steroid Hormone Biosynthesis
Metabolite_185,Untargeted Metabolomics,Steroid Hormone Biosynthesis
Metabolite_186,Untargeted Metabolomics,Bile Acid Metabolism
Metabolite_187,Untargeted Metabolomics,Amino Acid Metabolism
Metabolite_188,Untargeted Metabolomics,Bile Acid Metabolism
Metabolite_189,Untargeted Metabolomics,Amino Acid Metabolism
Metabolite_190,Targeted Metabolomics,Glycolysis
Metabolite_191,Targeted Metabolomics,Lipid Metabolism
Metabolite_192,Untargeted Metabolomics,Bile Acid Metabolism
Metabolite_193,Untargeted Lipidomics,Glycolysis
Metabolite_194,Untargeted Lipidomics,Glycolysis
Metabolite_195,Untargeted Metabolomics,Glycolysis
Metabolite_196,Untargeted Lipidomics,Lipid Metabolism
Metabolite_197,Untargeted Metabolomics,Glycolysis
Metabolite_198,Targeted Lipidomics,Lipid Metabolism
Metabolite_199,Targeted Metabolomics,Fatty Acid Oxidation
Metabolite_200,Untargeted Metabolomics,Sphingolipid Metabolism
